日付,ホーム球団,アウェイ球団,スコア,勝ち投手,負け投手,試合球場
3月10日（月）,試合なし,,,,,
3月11日（火）,楽天,ヤクルト,3-5,小川,藤井,静岡
3月11日（火）,西武,阪神,1-0,佐藤隼,早川,ベルーナドーム
3月11日（火）,ロッテ,日本ハム,4-5,山﨑福也,石川柊,ZOZOマリン
3月11日（火）,DeNA,広島,2-1,宮城,高橋,横浜
3月11日（火）,ソフトバンク,巨人,4-4,引き分け,,長崎
3月11日（火）,中日,オリックス,3-4,エスピノーザ,髙橋宏,バンテリンドーム
3月12日（水）,楽天,ヤクルト,,引き分け,,静岡
3月12日（水）,西武,阪神,2-3,ネルソン,甲斐野,ベルーナドーム
3月12日（水）,ロッテ,日本ハム,5-2,西野,金村,ZOZOマリン
3月12日（水）,DeNA,広島,2-6,ドミンゲス,武田,横浜
3月12日（水）,中日,オリックス,3-2,ウォルターズ,阿部,バンテリンドーム
3月12日（水）,ソフトバンク,巨人,3-4,横川,大津,みずほPayPay
3月13日（木）,ソフトバンク,巨人,5-0,伊藤,山﨑,みずほPayPay
3月14日（金）,ヤクルト,オリックス,6-1,石川,曽谷,神宮
3月14日（金）,DeNA,楽天,1-0,東,早川,横浜
3月14日（金）,中日,西武,4-4,引き分け,,小牧
3月14日（金）,広島,ロッテ,3-0,森下,小島,マツダスタジアム
3月14日（金）,ソフトバンク,日本ハム,2-2,引き分け,,みずほPayPay
3月15日（土）,阪神,,3-0,門別,シルバー,東京ドーム
3月15日（土）,巨人,,1-5,ロブレスキ,戸郷,東京ドーム
3月15日（土）,ヤクルト,オリックス,4-3,長谷川,山﨑,神宮
3月15日（土）,DeNA,楽天,1-4,今野,伊勢,横浜
3月15日（土）,広島,ロッテ,1-4,種市,佐藤柳,マツダスタジアム
3月15日（土）,中日,西武,3-3,引き分け,,バンテリンドーム
3月15日（土）,ソフトバンク,日本ハム,4-2,大関,松浦,みずほPayPay
3月16日（日）,阪神,,3-0,才木,スネル,東京ドーム
3月16日（日）,巨人,,2-4,タイヨン,グリフィン,東京ドーム
3月16日（日）,ヤクルト,オリックス,,引き分け,,神宮
3月16日（日）,DeNA,楽天,,引き分け,,横浜
3月16日（日）,広島,ロッテ,3-0,森,サモンズ,マツダスタジアム
3月16日（日）,ソフトバンク,日本ハム,3-8,伊藤,上沢,みずほPayPay
3月16日（日）,中日,西武,0-5,髙橋光成,マラー,バンテリンドーム
